Vermessungsbuero	XXX	Auftrag										
Strasse	98											
12345	Irgendwo											
												
Job:	ISLA1	Name:										
Datum:10.07.2010												
Geraet:	TCRA1205+											
												
PNR	Class	CodeID	Rechts	Hoch	eHoehe	oHoehe	rms	E	rms	N	rms	H
	6.WS14	MEAS	--------	277.844	28.983	1	0.249	0.005	0.009	0.009		
	6.WS15	MEAS	--------	275.335	27.384	1	0.223	0.005	0.009	0.009		
	6.WS16	MEAS	--------	272.987	25.854	1	0.23	0.005	0.009	0.009		
	6.WS17	MEAS	--------	271.068	24.434	1	0.225	0.005	0.009	0.009		
	6.WS18	MEAS	--------	268.493	22.712	1	0.229	0.005	0.008	0.008		
	6.WS19	MEAS	--------	265.988	21.175	1	0.227	0.005	0.008	0.008		
	6.WS20	MEAS	--------	263.221	19.615	1	0.216	0.005	0.008	0.008		
	6.WS21	MEAS	--------	260.51	17.693	1	0.217	0.005	0.008	0.008		
	6.WS22	MEAS	--------	257.69	15.874	1	0.214	0.005	0.008	0.008		
	6.WS23	MEAS	--------	257.661	15.924	1	0.203	0.005	0.008	0.008		
	6.WS24	MEAS	--------	255.361	14.706	1	0.188	0.005	0.008	0.008		
	6.WS25	MEAS	--------	252.911	12.969	1	0.183	0.005	0.008	0.008		
	6.WS26	MEAS	--------	250.373	11.105	1	0.186	0.005	0.008	0.008		
	6.WS27	MEAS	--------	247.977	10.369	1	0.162	0.005	0.008	0.008		
	6.WS28	MEAS	--------	245.683	9.515	1	0.158	0.005	0.008	0.008		
	6.WS29	MEAS	--------	243.029	8.24	1	0.167	0.005	0.008	0.008		
	6.WS30	MEAS	--------	239.947	6.542	1	0.147	0.005	0.007	0.007		
	6.WS31	MEAS	--------	236.342	4.545	1	0.137	0.005	0.007	0.007		
	6.WS32	MEAS	--------	233.267	2.87	1	0.134	0.005	0.007	0.007		
	6.WS33	MEAS	--------	229.683	0.938	1	0.128	0.005	0.007	0.007		
	6.WS34	MEAS	--------	225.165	-1.463	1	0.108	0.005	0.007	0.007		
	6.WS35	MEAS	--------	221.143	-3.456	1	0.101	0.005	0.007	0.007		
	6.WS36	MEAS	--------	217.246	-5.728	1	0.094	0.005	0.007	0.007		
	6.WS37	MEAS	--------	213.841	-7.576	1	0.101	0.005	0.007	0.007		
	6.WS38	MEAS	--------	210.637	-9.496	1	0.062	0.005	0.007	0.007		
	6.WS39	MEAS	--------	207.292	-11.056	1	0.062	0.005	0.006	0.006		
	6.WS40	MEAS	--------	204.298	-12.661	1	0.027	0.005	0.006	0.006		
	6.WS41	MEAS	--------	201.022	-13.734	1	0.026	0.005	0.006	0.006		
